		Total nat. gas (kBtu/h)	Dry-bulb temperature (°C)
			
Date	Time	18 Havelock-test-Newcastle.aps	NewcastleEWY.fwt
Sun, 01/Jan	24:00		
	21:15	9.569	
	21:45	9.596	
	22:00		1.10
	22:15	10.451	
	22:45	10.373	
	23:00		1.10
	23:15	10.431	
	23:45	10.330	
Sun, 15/Jan	24:00		1.50
	00:15	10.363	
	00:45	10.307	
	01:00		1.70
	01:15	10.260	
	01:45	10.222	
	02:00		1.80
	02:15	10.197	
	02:45	10.184	
	03:00		1.70
	03:15	10.157	
	03:45	10.114	
	04:00		1.90
	04:15	10.065	
	04:45	10.012	
	05:00		2.20
	05:15	9.975	
	05:45	9.953	
	06:00		2.20
	06:15	9.932	
	06:45	9.912	
	07:00		2.20
	07:15	9.892	
	07:45	9.873	
	08:00		2.20
	08:15	9.842	
	08:45	9.756	
	09:00		2.30
	09:15	9.100	
	09:45	9.106	
	10:00		2.00
	10:15	9.121	
	10:45	9.123	
	11:00		2.00
	11:15	9.129	
	11:45	9.143	
	12:00		1.90
	12:15	9.150	
	12:45	9.153	
	13:00		2.00
	13:15	9.157	
	13:45	9.160	
	14:00		2.10
	14:15	9.159	
	14:45	9.159	
	15:00		2.30
	15:15	9.170	
	15:45	9.192	
	16:00		2.40
	16:15	9.198	
	16:45	9.184	
	17:00		2.70
	17:15	9.223	
	17:45	9.321	
	18:00		1.90
	18:15	8.782	
	18:45	8.696	
	19:00		2.60
	19:15	8.607	
	19:45	8.522	
	20:00		3.20
	20:15	8.490	
	20:45	8.525	
	21:00		2.90
	21:15	8.549	
	21:45	8.558	
	22:00		2.90
	22:15	9.415	
	22:45	9.360	
	23:00		2.70
	23:15	9.475	
	23:45	9.465	
Mon, 16/Jan	24:00		2.30
	00:15	9.571	
	00:45	9.571	
	01:00		2.10
	01:15	9.571	
	01:45	9.566	
	02:00		2.00
	02:15	9.551	
	02:45	9.527	
	03:00		2.10
	03:15	9.520	
	03:45	9.530	
	04:00		1.90
	04:15	9.515	
	04:45	9.473	
	05:00		2.20
	05:15	9.446	
	05:45	9.434	
	06:00		2.20
	06:15	9.417	
	06:45	9.395	
	07:00		2.30
	07:15	9.373	
	07:45	9.352	
	08:00		2.40
	08:15	9.310	
	08:45	9.205	
	09:00		2.70
	09:15	8.512	
	09:45	8.463	
	10:00		2.80
	10:15	8.427	
	10:45	8.377	
	11:00		3.00
	11:15	8.341	
	11:45	8.331	
	12:00		2.80
	12:15	8.322	
	12:45	8.318	
	13:00		2.80
	13:15	8.355	
	13:45	8.455	
	14:00		2.50
	14:15	8.551	
	14:45	8.601	
	15:00		2.50
	15:15	8.667	
	15:45	8.763	
	16:00		2.10
	16:15	8.844	
	16:45	8.902	
	17:00		1.90
	17:15	8.943	
	17:45	8.970	
	18:00		1.90
	18:15	8.444	
	18:45	8.462	
	19:00		1.70
	19:15	8.483	
	19:45	8.513	
	20:00		1.40
	20:15	8.533	
	20:45	8.557	
	21:00		1.40
	21:15	8.572	
	21:45	8.573	
	22:00		1.60
	22:15	9.427	
	22:45	9.374	
	23:00		1.50
	23:15	9.468	
	23:45	9.415	
Tue, 17/Jan	24:00		1.60
	00:15	9.513	
	00:45	9.538	
	01:00		1.20
	01:15	9.584	
	01:45	9.649	
	02:00		0.50
	02:15	9.684	
	02:45	9.690	
	03:00		0.40
	03:15	9.681	
	03:45	9.659	
	04:00		0.60
	04:15	9.639	
	04:45	9.620	
	05:00		0.80
	05:15	9.613	
	05:45	9.616	
	06:00		0.80
	06:15	9.608	
	06:45	9.588	
	07:00		1.00
	07:15	9.588	
	07:45	9.609	
	08:00		0.80
	08:15	9.611	
	08:45	9.551	
	09:00		0.80
	09:15	8.898	
	09:45	8.890	
	10:00		0.80
	10:15	8.902	
	10:45	8.910	
	11:00		0.90
	11:15	8.921	
	11:45	8.914	
	12:00		0.70
	12:15	8.910	
	12:45	8.965	
	13:00		0.60
	13:15	9.043	
	13:45	9.109	
	14:00		0.40
	14:15	9.167	
	14:45	9.223	
	15:00		0.30
	15:15	9.296	
	15:45	9.387	
	16:00		0.00
	16:15	9.489	
	16:45	9.601	
	17:00		-0.60
	17:15	9.687	
	17:45	9.746	
