DateTime,Ap Sys boilers energy (kBtu/h),Ap Sys boilers space cond'g load (kW),Solar azimuth (deg.),Ap Sys boilers DHW load (kW),Ap Sys boilers space cond'g energy (kBtu/h),Cloud cover (oktas),Ap Sys boilers DHW energy (kBtu/h),Atmospheric pressure (Pa),External relative humidity (%),External moisture content (kg/kg),System grid disp. elec. PV CE (kgCO2/h)
11-17 02:15,7.848,0.8242,63.5,1.2229,3.160,1.00,4.688,101190,94.8,0.00386,0.0
11-17 02:45,7.932,0.8459,63.5,1.2229,3.243,1.00,4.688,101190,94.8,0.00386,0.0
11-17 03:15,7.977,0.8577,77.9,1.2229,3.288,1.00,4.688,101130,93.1,0.00385,0.0
11-17 03:45,7.980,0.8585,77.9,1.2229,3.291,1.00,4.688,101130,93.1,0.00385,0.0
11-17 04:15,7.968,0.8555,90.7,1.2229,3.280,1.00,4.688,101130,94.9,0.00404,0.0
11-17 04:45,7.940,0.8482,90.7,1.2229,3.252,1.00,4.688,101130,94.9,0.00404,0.0
11-17 05:15,7.951,0.8510,102.7,1.2229,3.263,0.99,4.688,101120,93.1,0.00385,0.0
11-17 05:45,8.006,0.8652,102.7,1.2229,3.317,0.99,4.688,101120,93.1,0.00385,0.0
11-17 06:15,8.043,0.8749,114.6,1.2229,3.354,1.00,4.688,101050,93.1,0.00386,0.0
11-17 06:45,8.060,0.8794,114.6,1.2229,3.372,1.00,4.688,101050,93.1,0.00386,0.0
11-17 07:15,8.041,0.8746,126.8,1.2229,3.353,1.00,4.688,101030,95.0,0.00411,-0.0
11-17 07:45,7.982,0.8590,126.8,1.2229,3.293,1.00,4.688,101030,95.0,0.00411,-0.0
11-17 08:15,7.909,0.8400,139.6,1.2229,3.220,1.00,4.688,100980,93.4,0.00419,-0.0
11-17 08:45,7.781,0.8066,139.6,1.2229,3.092,1.00,4.688,100980,93.4,0.00419,-0.0
11-17 09:15,6.988,0.5999,153.2,1.2229,2.300,6.00,4.688,100910,89.3,0.00450,-0.0
11-17 09:45,6.745,0.5365,153.2,1.2229,2.057,6.00,4.688,100910,89.3,0.00450,-0.0
11-17 10:15,6.565,0.4895,167.4,1.2229,1.877,7.00,4.688,100790,88.2,0.00463,-0.0
11-17 10:45,6.484,0.4684,167.4,1.2229,1.796,7.00,4.688,100790,88.2,0.00463,-0.0
11-17 11:15,6.437,0.4561,182.1,1.2229,1.749,6.99,4.688,100720,87.1,0.00481,-0.0
11-17 11:45,6.386,0.4427,182.1,1.2229,1.697,6.99,4.688,100720,87.1,0.00481,-0.0
11-17 12:15,6.345,0.4321,196.8,1.2229,1.657,6.99,4.688,100670,86.1,0.00500,-0.0
11-17 12:45,6.334,0.4293,196.8,1.2229,1.646,6.99,4.688,100670,86.1,0.00500,-0.0
11-17 13:15,6.309,0.4228,210.9,1.2229,1.621,8.00,4.688,100610,82.4,0.00499,-0.0
11-17 13:45,6.215,0.3981,210.9,1.2229,1.526,8.00,4.688,100610,82.4,0.00499,-0.0
11-17 14:15,6.175,0.3877,224.2,1.2229,1.486,7.00,4.688,100680,86.3,0.00515,-0.0
11-17 14:45,6.243,0.4054,224.2,1.2229,1.554,7.00,4.688,100680,86.3,0.00515,-0.0
11-17 15:15,6.390,0.4439,236.8,1.2229,1.702,4.00,4.688,100710,85.5,0.00463,-0.0
11-17 15:45,6.619,0.5036,236.8,1.2229,1.931,4.00,4.688,100710,85.5,0.00463,-0.0
11-17 16:15,6.814,0.5544,248.9,1.2229,2.125,3.00,4.688,100740,86.4,0.00439,0.0
11-17 16:45,6.962,0.5931,248.9,1.2229,2.274,3.00,4.688,100740,86.4,0.00439,0.0
11-17 17:15,7.128,0.6362,260.7,1.2229,2.439,1.00,4.688,100800,90.3,0.00415,0.0
11-17 17:45,7.316,0.6854,260.7,1.2229,2.628,1.00,4.688,100800,90.3,0.00415,0.0
11-17 18:15,6.845,0.5625,272.9,1.2229,2.156,1.00,4.688,100830,85.8,0.00405,0.0
11-17 18:45,6.810,0.5534,272.9,1.2229,2.122,1.00,4.688,100830,85.8,0.00405,0.0
11-17 19:15,6.824,0.5571,286.1,1.2229,2.136,2.00,4.688,100860,91.8,0.00413,0.0
11-17 19:45,6.896,0.5759,286.1,1.2229,2.208,2.00,4.688,100860,91.8,0.00413,0.0
11-17 20:15,6.912,0.5799,301.1,1.2229,2.223,2.00,4.688,100830,88.8,0.00414,0.0
11-17 20:45,6.888,0.5738,301.1,1.2229,2.200,2.00,4.688,100830,88.8,0.00414,0.0
11-17 21:15,6.894,0.5753,318.8,1.2229,2.206,1.00,4.688,100850,85.7,0.00399,0.0
11-17 21:45,6.921,0.5824,318.8,1.2229,2.233,1.00,4.688,100850,85.7,0.00399,0.0
11-17 22:15,7.808,0.8137,340.0,1.2229,3.120,1.00,4.688,100800,87.0,0.00394,0.0
11-17 22:45,7.795,0.8104,340.0,1.2229,3.107,1.00,4.688,100800,87.0,0.00394,0.0
11-17 23:15,7.943,0.8490,3.5,1.2229,3.255,1.00,4.688,100860,90.1,0.00399,0.0
11-17 23:45,7.959,0.8530,3.5,1.2229,3.270,1.00,4.688,100860,90.1,0.00399,0.0
11-18 00:15,8.039,0.8741,26.5,1.2229,3.351,3.00,4.688,100750,85.8,0.00402,0.0
11-18 00:45,7.957,0.8526,26.5,1.2229,3.269,3.00,4.688,100750,85.8,0.00402,0.0
11-18 01:15,7.941,0.8485,46.7,1.2229,3.253,5.00,4.688,100600,87.1,0.00395,0.0
11-18 01:45,7.995,0.8625,46.7,1.2229,3.307,5.00,4.688,100600,87.1,0.00395,0.0
11-18 02:15,7.983,0.8592,63.6,1.2229,3.294,7.00,4.688,100510,87.5,0.00421,0.0
11-18 02:45,7.900,0.8378,63.6,1.2229,3.212,7.00,4.688,100510,87.5,0.00421,0.0
11-18 03:15,7.861,0.8276,78.0,1.2229,3.173,8.00,4.688,100410,92.1,0.00440,0.0
11-18 03:45,7.869,0.8297,78.0,1.2229,3.181,8.00,4.688,100410,92.1,0.00440,0.0
11-18 04:15,7.898,0.8372,90.8,1.2229,3.210,5.00,4.688,100330,92.0,0.00428,0.0
11-18 04:45,7.949,0.8504,90.8,1.2229,3.260,5.00,4.688,100330,92.0,0.00428,0.0
11-18 05:15,8.020,0.8690,102.8,1.2229,3.332,1.00,4.688,100360,93.4,0.00413,0.0
11-18 05:45,8.108,0.8920,102.8,1.2229,3.420,1.00,4.688,100360,93.4,0.00413,0.0
11-18 06:15,8.137,0.8996,114.7,1.2229,3.449,1.00,4.688,100340,87.1,0.00396,0.0
11-18 06:45,8.108,0.8921,114.7,1.2229,3.420,1.00,4.688,100340,87.1,0.00396,0.0
11-18 07:15,8.068,0.8816,126.8,1.2229,3.380,3.00,4.688,100360,81.1,0.00382,-0.0
11-18 07:45,8.013,0.8672,126.8,1.2229,3.325,3.00,4.688,100360,81.1,0.00382,-0.0
11-18 08:15,7.997,0.8630,139.6,1.2229,3.309,7.00,4.688,100350,87.0,0.00393,-0.0
11-18 08:45,7.972,0.8566,139.6,1.2229,3.284,7.00,4.688,100350,87.0,0.00393,-0.0
11-18 09:15,7.266,0.6723,153.2,1.2229,2.578,7.00,4.688,100350,87.6,0.00428,-0.0
11-18 09:45,7.115,0.6330,153.2,1.2229,2.427,7.00,4.688,100350,87.6,0.00428,-0.0
11-18 10:15,6.957,0.5917,167.4,1.2229,2.269,6.00,4.688,100410,83.7,0.00439,-0.0
11-18 10:45,6.740,0.5351,167.4,1.2229,2.051,6.00,4.688,100410,83.7,0.00439,-0.0
11-18 11:15,6.420,0.4516,182.1,1.2229,1.732,1.00,4.688,100440,76.0,0.00424,-0.0
11-18 11:45,5.933,0.3246,182.1,1.2229,1.244,1.00,4.688,100440,76.0,0.00424,-0.0
11-18 12:15,5.503,0.2125,196.7,1.2229,0.815,5.00,4.688,100450,71.4,0.00421,-0.0
11-18 12:45,5.445,0.1973,196.7,1.2229,0.756,5.00,4.688,100450,71.4,0.00421,-0.0
11-18 13:15,5.564,0.2285,210.7,1.2229,0.876,5.00,4.688,100490,70.1,0.00413,-0.0
11-18 13:45,5.634,0.2466,210.7,1.2229,0.946,5.00,4.688,100490,70.1,0.00413,-0.0
11-18 14:15,5.886,0.3124,224.1,1.2229,1.198,7.00,4.688,100510,78.2,0.00418,-0.0
11-18 14:45,6.366,0.4376,224.1,1.2229,1.678,7.00,4.688,100510,78.2,0.00418,-0.0
11-18 15:15,6.706,0.5262,236.6,1.2229,2.017,7.00,4.688,100500,79.5,0.00419,-0.0
11-18 15:45,6.879,0.5714,236.6,1.2229,2.191,7.00,4.688,100500,79.5,0.00419,-0.0
11-18 16:15,7.001,0.6032,248.7,1.2229,2.313,7.00,4.688,100440,86.5,0.00447,0.0
11-18 16:45,7.088,0.6259,248.7,1.2229,2.400,7.00,4.688,100440,86.5,0.00447,0.0
11-18 17:15,7.125,0.6355,260.5,1.2229,2.436,8.00,4.688,100310,82.4,0.00435,0.0
11-18 17:45,7.122,0.6348,260.5,1.2229,2.434,8.00,4.688,100310,82.4,0.00435,0.0
11-18 18:15,6.545,0.4843,272.7,1.2229,1.857,8.00,4.688,100210,79.8,0.00434,0.0
11-18 18:45,6.495,0.4712,272.7,1.2229,1.807,8.00,4.688,100210,79.8,0.00434,0.0
11-18 19:15,6.489,0.4698,285.9,1.2229,1.801,7.99,4.688,100120,91.1,0.00479,0.0
11-18 19:45,6.536,0.4821,285.9,1.2229,1.848,7.99,4.688,100120,91.1,0.00479,0.0
11-18 20:15,6.632,0.5070,300.8,1.2229,1.944,8.00,4.688,99960,92.2,0.00446,0.0
11-18 20:45,6.789,0.5479,300.8,1.2229,2.101,8.00,4.688,99960,92.2,0.00446,0.0
11-18 21:15,6.834,0.5597,318.6,1.2229,2.146,8.00,4.688,99740,92.5,0.00481,0.0
11-18 21:45,6.756,0.5392,318.6,1.2229,2.067,8.00,4.688,99740,92.5,0.00481,0.0
11-18 22:15,7.473,0.7263,339.8,1.2229,2.785,7.99,4.688,99570,94.4,0.00551,0.0
11-18 22:45,7.229,0.6626,339.8,1.2229,2.540,7.99,4.688,99570,94.4,0.00551,0.0
11-18 23:15,7.198,0.6545,3.4,1.2229,2.509,8.00,4.688,99480,94.5,0.00576,0.0
11-18 23:45,7.090,0.6265,3.4,1.2229,2.402,8.00,4.688,99480,94.5,0.00576,0.0
11-19 00:15,7.142,0.6401,26.5,1.2229,2.454,8.00,4.688,99480,94.5,0.00576,0.0
11-19 00:45,7.126,0.6359,26.5,1.2229,2.438,8.00,4.688,99480,94.5,0.00576,0.0
11-19 01:15,7.110,0.6316,46.8,1.2229,2.421,7.99,4.688,99570,94.5,0.00579,0.0
11-19 01:45,7.091,0.6267,46.8,1.2229,2.403,7.99,4.688,99570,94.5,0.00579,0.0
11-19 02:15,7.085,0.6251,63.7,1.2229,2.396,8.00,4.688,99680,94.5,0.00574,0.0
11-19 02:45,7.091,0.6266,63.7,1.2229,2.402,8.00,4.688,99680,94.5,0.00574,0.0
11-19 03:15,7.125,0.6355,78.1,1.2229,2.436,8.00,4.688,99850,94.4,0.00549,0.0
11-19 03:45,7.187,0.6517,78.1,1.2229,2.499,8.00,4.688,99850,94.4,0.00549,0.0
11-19 04:15,7.262,0.6714,90.9,1.2229,2.574,8.00,4.688,99980,92.7,0.00509,0.0
11-19 04:45,7.353,0.6950,90.9,1.2229,2.665,8.00,4.688,99980,92.7,0.00509,0.0
11-19 05:15,7.421,0.7128,102.9,1.2229,2.733,7.00,4.688,100110,91.2,0.00490,0.0
11-19 05:45,7.463,0.7238,102.9,1.2229,2.775,7.00,4.688,100110,91.2,0.00490,0.0
11-19 06:15,7.499,0.7330,114.8,1.2229,2.810,7.00,4.688,100230,89.6,0.00474,0.0
11-19 06:45,7.527,0.7405,114.8,1.2229,2.839,7.00,4.688,100230,89.6,0.00474,0.0
11-19 07:15,7.544,0.7448,126.9,1.2229,2.856,5.00,4.688,100340,86.7,0.00458,-0.0
11-19 07:45,7.549,0.7462,126.9,1.2229,2.861,5.00,4.688,100340,86.7,0.00458,-0.0
11-19 08:15,7.569,0.7515,139.7,1.2229,2.881,3.00,4.688,100510,86.4,0.00440,-0.0
11-19 08:45,7.560,0.7491,139.7,1.2229,2.872,3.00,4.688,100510,86.4,0.00440,-0.0
11-19 09:15,6.893,0.5750,153.2,1.2229,2.205,4.00,4.688,100560,82.6,0.00444,-0.0
11-19 09:45,6.801,0.5510,153.2,1.2229,2.113,4.00,4.688,100560,82.6,0.00444,-0.0
11-19 10:15,6.652,0.5123,167.4,1.2229,1.964,3.00,4.688,100560,76.7,0.00452,-0.0
11-19 10:45,6.222,0.4000,167.4,1.2229,1.534,3.00,4.688,100560,76.7,0.00452,-0.0
11-19 11:15,5.717,0.2684,182.0,1.2229,1.029,4.99,4.688,100620,82.0,0.00480,-0.0
11-19 11:45,5.574,0.2310,182.0,1.2229,0.885,4.99,4.688,100620,82.0,0.00480,-0.0
11-19 12:15,5.499,0.2115,196.6,1.2229,0.811,4.00,4.688,100660,70.9,0.00438,-0.0
11-19 12:45,5.205,0.1347,196.6,1.2229,0.516,4.00,4.688,100660,70.9,0.00438,-0.0
11-19 13:15,4.931,0.0634,210.6,1.2229,0.243,3.00,4.688,100660,72.3,0.00449,-0.0
11-19 13:45,4.799,0.0288,210.6,1.2229,0.111,3.00,4.688,100660,72.3,0.00449,-0.0
11-19 14:15,4.978,0.0756,223.9,1.2229,0.290,2.99,4.688,100670,74.0,0.00432,-0.0
11-19 14:45,5.522,0.2174,223.9,1.2229,0.833,2.99,4.688,100670,74.0,0.00432,-0.0
11-19 15:15,6.098,0.3676,236.5,1.2229,1.409,3.00,4.688,100690,84.7,0.00421,-0.0
11-19 15:45,6.670,0.5169,236.5,1.2229,1.982,3.00,4.688,100690,84.7,0.00421,-0.0
11-19 16:15,7.054,0.6171,248.5,1.2229,2.366,4.00,4.688,100730,90.3,0.00409,0.0
11-19 16:45,7.307,0.6830,248.5,1.2229,2.619,4.00,4.688,100730,90.3,0.00409,0.0
11-19 17:15,7.433,0.7158,260.4,1.2229,2.744,5.00,4.688,100750,88.8,0.00414,0.0
11-19 17:45,7.448,0.7198,260.4,1.2229,2.760,5.00,4.688,100750,88.8,0.00414,0.0
11-19 18:15,6.927,0.5840,272.5,1.2229,2.239,4.99,4.688,100770,90.3,0.00409,0.0
11-19 18:45,6.977,0.5970,272.5,1.2229,2.289,4.99,4.688,100770,90.3,0.00409,0.0
11-19 19:15,6.949,0.5895,285.7,1.2229,2.260,7.00,4.688,100740,86.1,0.00419,0.0
11-19 19:45,6.845,0.5625,285.7,1.2229,2.157,7.00,4.688,100740,86.1,0.00419,0.0
11-19 20:15,6.745,0.5364,300.6,1.2229,2.056,7.00,4.688,100700,83.6,0.00434,0.0
11-19 20:45,6.664,0.5154,300.6,1.2229,1.976,7.00,4.688,100700,83.6,0.00434,0.0
11-19 21:15,6.649,0.5115,318.4,1.2229,1.961,5.99,4.688,100720,84.9,0.00431,0.0
11-19 21:45,6.698,0.5241,318.4,1.2229,2.009,5.99,4.688,100720,84.9,0.00431,0.0
11-19 22:15,7.601,0.7598,339.6,1.2229,2.913,6.00,4.688,100750,86.1,0.00422,0.0
11-19 22:45,7.597,0.7587,339.6,1.2229,2.909,6.00,4.688,100750,86.1,0.00422,0.0
11-19 23:15,7.712,0.7886,3.3,1.2229,3.023,7.00,4.688,100760,84.9,0.00428,0.0
11-19 23:45,7.649,0.7721,3.3,1.2229,2.960,7.00,4.688,100760,84.9,0.00428,0.0
11-20 00:15,7.723,0.7916,26.5,1.2229,3.035,7.00,4.688,100780,86.4,0.00438,0.0
11-20 00:45,7.709,0.7879,26.5,1.2229,3.021,7.00,4.688,100780,86.4,0.00438,0.0
11-20 01:15,7.703,0.7862,46.9,1.2229,3.014,7.00,4.688,100750,84.9,0.00431,0.0
11-20 01:45,7.703,0.7864,46.9,1.2229,3.015,7.00,4.688,100750,84.9,0.00431,0.0
11-20 02:15,7.721,0.7910,63.8,1.2229,3.033,7.00,4.688,100800,83.2,0.00413,0.0
11-20 02:45,7.757,0.8004,63.8,1.2229,3.069,7.00,4.688,100800,83.2,0.00413,0.0
11-20 03:15,7.790,0.8090,78.2,1.2229,3.101,7.00,4.688,100810,83.1,0.00407,0.0
11-20 03:45,7.817,0.8161,78.2,1.2229,3.129,7.00,4.688,100810,83.1,0.00407,0.0
11-20 04:15,7.850,0.8247,91.0,1.2229,3.162,3.00,4.688,100840,82.9,0.00397,0.0
11-20 04:45,7.891,0.8353,91.0,1.2229,3.202,3.00,4.688,100840,82.9,0.00397,0.0
11-20 05:15,7.955,0.8522,103.0,1.2229,3.267,1.00,4.688,100890,85.5,0.00389,0.0
11-20 05:45,8.042,0.8748,103.0,1.2229,3.354,1.00,4.688,100890,85.5,0.00389,0.0
11-20 06:15,8.104,0.8908,114.8,1.2229,3.415,1.00,4.688,100900,83.8,0.00376,0.0
11-20 06:45,8.139,0.9000,114.8,1.2229,3.450,1.00,4.688,100900,83.8,0.00376,0.0
11-20 07:15,8.198,0.9154,127.0,1.2229,3.510,1.00,4.688,100990,86.5,0.00369,-0.0
11-20 07:45,8.278,0.9364,127.0,1.2229,3.590,1.00,4.688,100990,86.5,0.00369,-0.0
11-20 08:15,8.269,0.9339,139.7,1.2229,3.580,1.00,4.688,101010,83.7,0.00376,-0.0
11-20 08:45,8.118,0.8945,139.7,1.2229,3.429,1.00,4.688,101010,83.7,0.00376,-0.0
11-20 09:15,7.276,0.6750,153.2,1.2229,2.588,1.00,4.688,101030,71.1,0.00378,-0.0
11-20 09:45,6.964,0.5937,153.2,1.2229,2.276,1.00,4.688,101030,71.1,0.00378,-0.0
11-20 10:15,6.678,0.5190,167.4,1.2229,1.990,1.00,4.688,101040,72.9,0.00398,-0.0
11-20 10:45,6.361,0.4362,167.4,1.2229,1.672,1.00,4.688,101040,72.9,0.00398,-0.0
11-20 11:15,5.969,0.3340,181.9,1.2229,1.281,2.00,4.688,101030,71.4,0.00418,-0.0
11-20 11:45,5.673,0.2567,181.9,1.2229,0.984,2.00,4.688,101030,71.4,0.00418,-0.0
11-20 12:15,5.482,0.2069,196.5,1.2229,0.793,1.00,4.688,101060,69.8,0.00403,-0.0
11-20 12:45,5.245,0.1451,196.5,1.2229,0.556,1.00,4.688,101060,69.8,0.00403,-0.0
11-20 13:15,5.089,0.1046,210.5,1.2229,0.401,2.00,4.688,101050,70.5,0.00393,-0.0
11-20 13:45,5.165,0.1244,210.5,1.2229,0.477,2.00,4.688,101050,70.5,0.00393,-0.0
11-20 14:15,5.436,0.1950,223.8,1.2229,0.747,0.99,4.688,101070,71.8,0.00398,-0.0
11-20 14:45,5.843,0.3011,223.8,1.2229,1.154,0.99,4.688,101070,71.8,0.00398,-0.0
11-20 15:15,6.326,0.4272,236.3,1.2229,1.638,0.99,4.688,101070,84.2,0.00397,-0.0
11-20 15:45,6.903,0.5777,236.3,1.2229,2.215,0.99,4.688,101070,84.2,0.00397,-0.0
11-20 16:15,7.293,0.6793,248.3,1.2229,2.604,0.99,4.688,101070,88.3,0.00379,0.0
11-20 16:45,7.549,0.7461,248.3,1.2229,2.860,0.99,4.688,101070,88.3,0.00379,0.0
11-20 17:15,7.687,0.7821,260.2,1.2229,2.998,0.99,4.688,101020,90.0,0.00392,0.0
11-20 17:45,7.725,0.7920,260.2,1.2229,3.037,0.99,4.688,101020,90.0,0.00392,0.0
11-20 18:15,7.212,0.6582,272.3,1.2229,2.524,3.00,4.688,101040,91.6,0.00390,0.0
11-20 18:45,7.252,0.6687,272.3,1.2229,2.564,3.00,4.688,101040,91.6,0.00390,0.0
11-20 19:15,7.340,0.6917,285.4,1.2229,2.652,5.00,4.688,100990,96.4,0.00374,0.0
11-20 19:45,7.485,0.7295,285.4,1.2229,2.797,5.00,4.688,100990,96.4,0.00374,0.0
11-20 20:15,7.575,0.7528,300.4,1.2229,2.886,5.00,4.688,100960,96.4,0.00372,0.0
11-20 20:45,7.624,0.7656,300.4,1.2229,2.935,5.00,4.688,100960,96.4,0.00372,0.0
11-20 21:15,7.643,0.7706,318.2,1.2229,2.954,4.00,4.688,100930,94.7,0.00379,0.0
11-20 21:45,7.621,0.7650,318.2,1.2229,2.933,4.00,4.688,100930,94.7,0.00379,0.0
11-20 22:15,8.453,0.9820,339.4,1.2229,3.765,8.00,4.688,100930,91.2,0.00368,0.0
11-20 22:45,8.386,0.9645,339.4,1.2229,3.698,8.00,4.688,100930,91.2,0.00368,0.0
11-20 23:15,8.430,0.9760,3.2,1.2229,3.742,8.00,4.688,100900,85.5,0.00389,0.0
11-20 23:45,8.241,0.9266,3.2,1.2229,3.552,8.00,4.688,100900,85.5,0.00389,0.0
11-21 00:15,8.326,0.9487,26.6,1.2229,3.637,5.00,4.688,100890,89.7,0.00372,0.0
11-21 00:45,8.469,0.9860,26.6,1.2229,3.780,5.00,4.688,100890,89.7,0.00372,0.0
11-21 01:15,8.501,0.9945,47.0,1.2229,3.813,4.00,4.688,100880,80.5,0.00359,0.0
11-21 01:45,8.417,0.9725,47.0,1.2229,3.728,4.00,4.688,100880,80.5,0.00359,0.0
11-21 02:15,8.408,0.9703,63.9,1.2229,3.720,0.00,4.688,100900,85.0,0.00365,0.0
11-21 02:45,8.479,0.9887,63.9,1.2229,3.791,0.00,4.688,100900,85.0,0.00365,0.0
11-21 03:15,8.537,1.0038,78.3,1.2229,3.849,0.00,4.688,100910,86.5,0.00367,0.0
11-21 03:45,8.578,1.0145,78.3,1.2229,3.889,0.00,4.688,100910,86.5,0.00367,0.0
11-21 04:15,8.599,1.0201,91.1,1.2229,3.911,0.00,4.688,100890,88.2,0.00377,0.0
11-21 04:45,8.604,1.0214,91.1,1.2229,3.916,0.00,4.688,100890,88.2,0.00377,0.0
11-21 05:15,8.624,1.0265,103.1,1.2229,3.935,0.00,4.688,100940,91.5,0.00385,0.0
11-21 05:45,8.659,1.0358,103.1,1.2229,3.971,0.00,4.688,100940,91.5,0.00385,0.0
11-21 06:15,8.685,1.0424,114.9,1.2229,3.996,1.00,4.688,100910,89.8,0.00378,0.0
11-21 06:45,8.699,1.0461,114.9,1.2229,4.011,1.00,4.688,100910,89.8,0.00378,0.0
11-21 07:15,8.711,1.0494,127.0,1.2229,4.023,1.00,4.688,100930,89.8,0.00378,-0.0
11-21 07:45,8.722,1.0522,127.0,1.2229,4.034,1.00,4.688,100930,89.8,0.00378,-0.0
11-21 08:15,8.709,1.0488,139.7,1.2229,4.021,0.99,4.688,100920,89.9,0.00384,-0.0
11-21 08:45,8.620,1.0255,139.7,1.2229,3.932,0.99,4.688,100920,89.9,0.00384,-0.0
11-21 09:15,7.898,0.8371,153.2,1.2229,3.209,0.99,4.688,100870,87.0,0.00391,-0.0
11-21 09:45,7.774,0.8050,153.2,1.2229,3.086,0.99,4.688,100870,87.0,0.00391,-0.0
11-21 10:15,7.610,0.7619,167.3,1.2229,2.921,1.00,4.688,100860,86.1,0.00418,-0.0
11-21 10:45,7.248,0.6676,167.3,1.2229,2.560,1.00,4.688,100860,86.1,0.00418,-0.0
11-21 11:15,6.721,0.5303,181.9,1.2229,2.033,1.00,4.688,100830,85.2,0.00444,-0.0
11-21 11:45,6.211,0.3971,181.9,1.2229,1.523,1.00,4.688,100830,85.2,0.00444,-0.0
11-21 12:15,5.843,0.3011,196.4,1.2229,1.154,3.00,4.688,100700,83.9,0.00444,-0.0
11-21 12:45,5.735,0.2731,196.4,1.2229,1.047,3.00,4.688,100700,83.9,0.00444,-0.0
11-21 13:15,5.631,0.2460,210.4,1.2229,0.943,3.00,4.688,100630,82.8,0.00458,-0.0
11-21 13:45,5.250,0.1466,210.4,1.2229,0.562,3.00,4.688,100630,82.8,0.00458,-0.0
11-21 14:15,5.287,0.1562,223.6,1.2229,0.599,4.00,4.688,100560,90.6,0.00432,-0.0
11-21 14:45,6.070,0.3603,223.6,1.2229,1.381,4.00,4.688,100560,90.6,0.00432,-0.0
11-21 15:15,6.761,0.5406,236.1,1.2229,2.073,7.00,4.688,100430,93.5,0.00422,-0.0
11-21 15:45,7.227,0.6622,236.1,1.2229,2.539,7.00,4.688,100430,93.5,0.00422,-0.0
11-21 16:15,7.459,0.7228,248.1,1.2229,2.771,7.00,4.688,100240,89.0,0.00426,0.0
11-21 16:45,7.515,0.7373,248.1,1.2229,2.827,7.00,4.688,100240,89.0,0.00426,0.0
11-21 17:15,7.517,0.7379,260.0,1.2229,2.829,7.00,4.688,100090,86.5,0.00442,0.0
11-21 17:45,7.490,0.7308,260.0,1.2229,2.802,7.00,4.688,100090,86.5,0.00442,0.0
11-21 18:15,6.825,0.5574,272.1,1.2229,2.137,8.00,4.688,99890,76.7,0.00452,0.0
11-21 18:45,6.624,0.5048,272.1,1.2229,1.935,8.00,4.688,99890,76.7,0.00452,0.0
11-21 19:15,6.485,0.4686,285.2,1.2229,1.797,8.00,4.688,99660,77.2,0.00472,0.0
11-21 19:45,6.420,0.4517,285.2,1.2229,1.732,8.00,4.688,99660,77.2,0.00472,0.0
11-21 20:15,6.382,0.4417,300.2,1.2229,1.693,7.99,4.688,99470,79.9,0.00493,0.0
11-21 20:45,6.384,0.4423,300.2,1.2229,1.696,7.99,4.688,99470,79.9,0.00493,0.0
11-21 21:15,6.466,0.4637,318.0,1.2229,1.778,8.00,4.688,99300,87.2,0.00492,0.0
11-21 21:45,6.623,0.5048,318.0,1.2229,1.935,8.00,4.688,99300,87.2,0.00492,0.0
11-21 22:15,7.519,0.7382,339.3,1.2229,2.830,8.00,4.688,99030,80.8,0.00480,0.0
11-21 22:45,7.383,0.7028,339.3,1.2229,2.695,8.00,4.688,99030,80.8,0.00480,0.0
11-21 23:15,7.467,0.7248,3.1,1.2229,2.779,8.00,4.688,98790,83.1,0.00475,0.0
11-21 23:45,7.483,0.7291,3.1,1.2229,2.795,8.00,4.688,98790,83.1,0.00475,0.0
11-22 00:15,7.615,0.7634,26.5,1.2229,2.927,8.00,4.688,98550,81.6,0.00457,0.0
11-22 00:45,7.634,0.7683,26.5,1.2229,2.945,8.00,4.688,98550,81.6,0.00457,0.0
11-22 01:15,7.690,0.7829,47.0,1.2229,3.001,8.00,4.688,98380,94.0,0.00496,0.0
11-22 01:45,7.781,0.8068,47.0,1.2229,3.093,8.00,4.688,98380,94.0,0.00496,0.0
11-22 02:15,7.829,0.8193,64.0,1.2229,3.141,7.00,4.688,98280,94.0,0.00497,0.0
11-22 02:45,7.832,0.8200,64.0,1.2229,3.144,7.00,4.688,98280,94.0,0.00497,0.0
11-22 03:15,7.834,0.8204,78.4,1.2229,3.145,5.00,4.688,98240,94.0,0.00497,0.0
11-22 03:45,7.834,0.8206,78.4,1.2229,3.146,5.00,4.688,98240,94.0,0.00497,0.0
11-22 04:15,7.769,0.8036,91.2,1.2229,3.081,4.99,4.688,98220,92.9,0.00534,0.0
11-22 04:45,7.636,0.7687,91.2,1.2229,2.947,4.99,4.688,98220,92.9,0.00534,0.0
11-22 05:15,7.571,0.7518,103.2,1.2229,2.882,3.00,4.688,98200,91.5,0.00519,0.0
11-22 05:45,7.580,0.7542,103.2,1.2229,2.892,3.00,4.688,98200,91.5,0.00519,0.0
11-22 06:15,7.492,0.7312,115.0,1.2229,2.803,2.00,4.688,98160,76.5,0.00488,0.0
11-22 06:45,7.300,0.6813,115.0,1.2229,2.612,2.00,4.688,98160,76.5,0.00488,0.0
11-22 07:15,7.272,0.6739,127.1,1.2229,2.584,2.99,4.688,98170,83.2,0.00478,0.0
11-22 07:45,7.414,0.7108,127.1,1.2229,2.725,2.99,4.688,98170,83.2,0.00478,0.0
11-22 08:15,7.456,0.7218,139.8,1.2229,2.767,2.00,4.688,98130,82.0,0.00482,-0.0
11-22 08:45,7.339,0.6914,139.8,1.2229,2.651,2.00,4.688,98130,82.0,0.00482,-0.0
